dropout 0.0,dropout 0.25,dropout 0.5,dropout 0.75,dropout 0.9
534.8390912370004,547.8124842369084,567.2530968191998,577.428556741296,626.2279315205426
183.33207460868687,195.33362627076508,205.22961862711463,232.94443898978523,319.0125020109953
122.38678149150113,132.7509260613668,145.7946465954406,181.92354846635683,277.3098992357047
94.79184415608871,104.44143612010691,117.41934661354888,157.8340042499427,259.4508385541994
68.91480238430137,89.3635042499954,103.78677334284328,142.74240349857803,247.99325929952886
62.434064389482266,78.55295726361993,94.22162133469492,133.9713825425019,241.53198337833282
56.15916976465372,70.1784605242717,86.68502575831215,127.30758078065256,236.33942931374992
53.994263350094855,63.59039546909963,81.38329544747646,122.1810230283028,232.25825756862915
52.0085221314466,50.4511125161273,76.69656281584051,117.85779428538154,228.6799575074062
51.363640317013264,46.18486245829158,72.89391031320352,115.41269719256935,226.50507441933172
50.804764447882654,42.969045291465584,69.48287089675301,112.29045712320858,224.64679020206805
50.63653999624991,41.70183378719477,60.70740843301912,110.570564053752,223.6255084533253
50.49821011758152,40.82964875111611,57.66455239830546,108.4607037453692,218.78817074726828
50.34624031768684,40.540621559967526,55.40349480702873,106.35107789973044,222.59013419469233
50.306693231185605,40.33237641821176,54.7369225779976,105.52386488150746,218.6209328215796
50.27140808092348,40.14757064587543,53.91061677623047,103.59424490695154,217.39125149761747
50.23761275594363,40.0553787814549,53.6626127228708,102.49531400384429,209.74200027750084
50.20461829518128,40.217366752096,53.82881576424219,96.8293183879242,204.18874670632553
50.16463120537225,40.09899142342911,53.52673777965671,92.76905585844374,201.1181172708943
50.15593021141933,40.06315032673759,53.3458840560647,91.03472228527691,198.92250278372342
50.14739775268133,40.08932937380935,53.31293779563583,89.84097409762924,197.9693537822744
50.13898903542504,40.07859818174088,53.179043553679854,88.86659956406346,195.062477988645
50.13067459575097,40.18564513793972,53.04060784917112,87.92817017493412,194.42520347499197
50.12242953097012,39.92227705226242,53.11316908760664,87.3996948093464,193.1396515339973
50.11424699684761,40.06645385722743,53.29418618918472,86.60347452128212,192.26077314226896
50.10403032395987,39.98973348872447,53.11147845518084,85.48738662598637,191.61758247971588
50.1019617243018,39.95786332045338,53.06308912211898,84.84635013118131,191.04079231577566
50.099898704631286,40.02108719563453,53.27176488012312,84.1076206905385,190.30472425799022
50.0978361282362,40.12245286877258,53.29633563432139,83.88611866334033,190.1159317577561
50.09578319176731,40.09093095114117,53.18704997647501,82.79503559630176,189.76919270081154
50.09373165318517,40.07989297052469,53.123398111905054,81.46249025736434,189.75875689110023
50.09168449802187,40.07289425132036,53.15580154196309,81.30119189945296,189.3919105759385
50.08964435305321,40.03644074991065,53.13559813682068,80.88639042426301,189.34084856739779
50.08760453001232,40.07536674341602,53.00189768337925,80.04523674736893,189.17016006739547
50.085030657233496,40.00440745880008,53.23369092527754,80.24047449620635,188.64101449277098
50.08438285122292,40.177769653450994,53.14106589531202,80.71985102359285,188.15394061989429
50.08421830386011,39.98641540554742,53.26431589605381,80.45490305259764,188.8650283529668
50.08418200320846,40.0428682046926,53.1486708638472,80.5550208058523,188.24754238712748
50.084176510348975,40.05508884612865,53.00163244102946,80.10601267860199,188.27924770257658
50.08417567447913,40.01631335080332,52.984919164043326,80.23484487601607,188.07161652361418
